OperatorID;Room1;Room2;TravelTime
14;013A08DK 3;013A08DK 2;14
14;013A08DK 2;013A08DK 1;17
14;013A08DK 1;013A07DK 1;4
14;013A07DK 1;013A01DK 1;18
14;013A01DK 1;012A08DK 1;21
14;012A08DK 1;012A02DK 1;2
14;012A02DK 1;012A04DK 1;6
14;012A04DK 1;012A02DK 1;6
14;012A02DK 1;012A08DK 1;2
14;012A08DK 1;013A01DK 1;21
14;013A01DK 1;013A07DK 1;18
14;013A07DK 1;013A10DK 1;8
14;013A10DK 1;014A01DK 1;2
14;014A01DK 1;014A03DK 1;8
14;014A03DK 1;014A05DK 1;8
14;014A05DK 1;014A09DK 1;9
14;014A09DK 1;015A01DK 1;11
14;015A01DK 1;015A03DK 1;3
14;015A03DK 1;015A03DK 2;16
14;015A03DK 2;025A01DK 2;3
14;025A01DK 2;025A05DK 2;7
14;025A05DK 2;025A06DK 2;7
14;025A06DK 2;025A30DK 2;5
14;025A30DK 2;015A09DK 2;2
14;015A09DK 2;015A09DK 1;17
14;015A09DK 1;015A08DK 1;4
15;034A04DK 4;044A05DK 4;9
15;044A05DK 4;044A04DK 4;5
15;044A04DK 4;044A04DK 5;5
15;044A04DK 5;044A04DK 6;6
15;044A04DK 6;044A04DK 7;7
15;044A04DK 7;044A04DK 8;7
15;044A04DK 8;044A04DK 9;7
15;044A04DK 9;094A01DK 9;11
15;094A01DK 9;094A08DK 9;26
15;094A08DK 9;094A02DK 9;13
15;094A02DK 9;093A02DK 9;32
15;093A02DK 9;043A14DK 9;8
15;043A14DK 9;043A14DK 10;5
15;043A14DK 10;043A14DK 11;5
15;043A14DK 11;043A14DK 12;5
15;043A14DK 12;043A14DK 13;5
15;043A14DK 13;043A14DK 14;5
15;043A14DK 14;043A14DK 15;5
15;043A14DK 15;043A14DK 16;5
15;043A14DK 16;163A03DK 16;14
15;163A03DK 16;163A10DK 16;19
16;034A04DK 4;044A05DK 4;9
16;044A05DK 4;044A12DK 4;12
16;044A12DK 4;044A05DK 4;12
16;044A05DK 4;034A04DK 4;9
16;034A04DK 4;044A29DK 4;9
16;044A29DK 4;024A06DK 4;5
16;024A06DK 4;025A02DK 4;13
16;025A02DK 4;025A02_2DK 3;18
16;025A02_2DK 3;025A02_2DK 2;6
16;025A02_2DK 2;025A06DK 2;4
16;025A06DK 2;025A30DK 2;5
16;025A30DK 2;025A09DK 2;7
16;025A09DK 2;025A30DK 2;7
16;025A30DK 2;025A06DK 2;5
16;025A06DK 2;025A05DK 2;7
16;025A05DK 2;015A05DK 2;3
16;015A05DK 2;015A05DK 1;16
16;015A05DK 1;015A04DK 1;3
16;015A04DK 1;015A01DK 1;7
16;015A01DK 1;014A09DK 1;11
16;014A09DK 1;014A05DK 1;9
16;014A05DK 1;014A03DK 1;8
16;014A03DK 1;014A01DK 1;8
16;014A01DK 1;013A10DK 1;2
16;013A10DK 1;013A06DK 1;15
17;034A04DK 4;044A29DK 4;9
17;044A29DK 4;024A06DK 4;5
17;024A06DK 4;025A02DK 4;13
17;025A02DK 4;025A02_2DK 3;18
17;025A02_2DK 3;035A10DK 3;3
17;035A10DK 3;035A18DK 3;13
17;035A18DK 3;036A18DK 3;10
17;036A18DK 3;036A01DK 3;8
17;036A01DK 3;036A07DK 3;11
17;036A07DK 3;036A20DK 3;6
17;036A20DK 3;026A09DK 3;3
17;026A09DK 3;026A09DK 2;7
17;026A09DK 2;026A17DK 2;2
17;026A17DK 2;026A16DK 2;4
17;026A16DK 2;026A17DK 2;4
17;026A17DK 2;026A09DK 2;2
17;026A09DK 2;026A09DK 3;7
17;026A09DK 3;026A09DK 4;7
17;026A09DK 4;026A09DK 5;7
17;026A09DK 5;056A01DK 5;18
17;056A01DK 5;055A14DK 5;24
17;055A14DK 5;054A12DK 5;35
17;054A12DK 5;053A08DK 5;26
17;053A08DK 5;043A14DK 5;6
17;043A14DK 5;043A14DK 6;6
17;043A14DK 6;043A14DK 7;6
17;043A14DK 7;043A14DK 8;7
17;043A14DK 8;043A14DK 9;7
17;043A14DK 9;043A14DK 10;5
17;043A14DK 10;043A14DK 11;5
17;043A14DK 11;043A14DK 12;5
17;043A14DK 12;043A14DK 13;5
17;043A14DK 13;043A14DK 14;5
17;043A14DK 14;043A14DK 15;5
17;043A14DK 15;153A10DK 15;2
17;153A10DK 15;093A08DK 15;6
18;034A04DK 4;044A05DK 4;9
18;044A05DK 4;014A02DK 4;7
18;014A02DK 4;014A02DK 3;15
18;014A02DK 3;034A02DK 3;8
18;034A02DK 3;014A02DK 3;8
18;014A02DK 3;014A02DK 4;15
18;014A02DK 4;044A05DK 4;7
18;044A05DK 4;044A04DK 4;5
18;044A04DK 4;044A04DK 5;5
18;044A04DK 5;054A01DK 5;12
18;054A01DK 5;044A04DK 5;12
18;044A04DK 5;044A04DK 6;6
18;044A04DK 6;044A04DK 7;7
18;044A04DK 7;044A04DK 8;7
18;044A04DK 8;044A04DK 9;7
18;044A04DK 9;044A04DK 10;6
18;044A04DK 10;044A04DK 11;6
18;044A04DK 11;044A04DK 12;6
18;044A04DK 12;124A01DK 12;11
18;124A01DK 12;044A04DK 12;11
18;044A04DK 12;044A04DK 11;6
18;044A04DK 11;044A04DK 10;6
18;044A04DK 10;044A04DK 9;6
18;044A04DK 9;094A01DK 9;11
18;094A01DK 9;094A08DK 9;26
19;034A04DK 4;044A05DK 4;9
19;044A05DK 4;043A03DK 4;30
19;043A03DK 4;013A08DK 4;14
19;013A08DK 4;013A08DK 3;14
19;013A08DK 3;033A05DK 3;5
19;033A05DK 3;013A08DK 3;5
19;013A08DK 3;013A08DK 2;14
19;013A08DK 2;013A08DK 1;17
19;013A08DK 1;013A07DK 1;4
19;013A07DK 1;013A10DK 1;8
19;013A10DK 1;014A01DK 1;2
20;034A04DK 4;044A05DK 4;9
20;044A05DK 4;044A04DK 4;5
20;044A04DK 4;044A04DK 5;5
20;044A04DK 5;044A04DK 6;6
20;044A04DK 6;044A04DK 7;7
20;044A04DK 7;044A04DK 8;7
20;044A04DK 8;044A04DK 9;7
20;044A04DK 9;044A04DK 10;6
20;044A04DK 10;044A04DK 11;6
20;044A04DK 11;044A04DK 12;6
20;044A04DK 12;124A01DK 12;11
20;124A01DK 12;044A04DK 12;11
20;044A04DK 12;044A04DK 11;6
20;044A04DK 11;044A04DK 10;6
20;044A04DK 10;044A04DK 9;6
20;044A04DK 9;094A01DK 9;11
20;094A01DK 9;095A03DK 9;37
20;095A03DK 9;095A06DK 9;10
20;095A06DK 9;095A03DK 9;10
20;095A03DK 9;055A05_1DK 9;10
21;034A04DK 4;044A05DK 4;9
21;044A05DK 4;044A04DK 4;5
21;044A04DK 4;044A04DK 5;5
21;044A04DK 5;044A04DK 6;6
21;044A04DK 6;044A04DK 7;7
21;044A04DK 7;044A04DK 8;7
21;044A04DK 8;044A04DK 9;7
21;044A04DK 9;094A01DK 9;11
21;094A01DK 9;094A08DK 9;26
21;094A08DK 9;094A02DK 9;13
21;094A02DK 9;094A08DK 9;13
21;094A08DK 9;094A02DK 9;13
21;094A02DK 9;093A02DK 9;32
21;093A02DK 9;043A14DK 9;8
21;043A14DK 9;043A14DK 10;5
21;043A14DK 10;043A14DK 11;5
21;043A14DK 11;043A14DK 12;5
21;043A14DK 12;043A14DK 13;5
21;043A14DK 13;043A14DK 14;5
21;043A14DK 14;043A14DK 15;5
21;043A14DK 15;043A14DK 16;5
21;043A14DK 16;163A03DK 16;14
21;163A03DK 16;163A10DK 16;19
22;034A04DK 4;044A05DK 4;9
22;044A05DK 4;044A04DK 4;5
22;044A04DK 4;044A04DK 5;5
